City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
352,Halifax,CA,66.69,44.6453,-63.5724,
353,Carros,FR,76.69,43.7894,7.184,
355,Hay River,CA,69.78,60.8156,-115.7999,
356,Rio Gallegos,AR,48.25,-51.6226,-69.2181,
357,Aklavik,CA,51.73,68.2191,-135.0107,
358,Vanavara,RU,54.21,60.34,102.2797,
360,Kurtamysh,RU,52.47,54.9103,64.4319,
361,Yulara,AU,52.97,-25.2406,130.9889,
363,Namwala,ZM,58.17,-15.7504,26.4384,
364,Noumea,NC,73.99,-22.2763,166.4572,
365,Port Lincoln,AU,58.1,-34.7333,135.8667,
367,Provideniya,RU,37.29,64.3833,-173.3,
368,Guarapari,BR,71.89,-20.6667,-40.4975,
369,Terrace,CA,55.31,54.5163,-128.6035,
370,Narsaq,GL,49.57,60.9167,-46.05,
371,Comodoro Rivadavia,AR,60.66,-45.8667,-67.5,
372,Ust-Ishim,RU,51.28,57.6935,71.1665,
375,Tamandare,BR,79.9,-8.7597,-35.1047,
376,Asau,RO,69.28,46.4333,26.4,
377,Rio Cuarto,AR,75.47,-33.1307,-64.3499,
378,Komsomolskiy,UZ,74.12,40.4272,71.7189,
381,Ilobu,NG,75.49,7.8333,4.4833,
382,Gboko,NG,79.61,7.3179,8.9951,
384,Novosil,RU,61.83,52.9739,37.0405,
385,Tacuarembo,UY,60.89,-31.7333,-55.9833,
387,Erdaojiang,CN,54.99,41.7764,126.0319,
388,Maragogi,BR,79.34,-9.0122,-35.2225,
389,Takoradi,GH,78.58,4.8845,-1.7554,
390,Mawlaik,MM,77.34,23.6333,94.4167,
391,Yichun,CN,56.73,47.7,128.9,
392,Camana,PE,66.25,-16.6228,-72.7111,
393,Kade,DE,61.09,52.3833,12.2667,
395,Olkhovatka,RU,61.45,50.2831,39.2872,
396,Pemba,MZ,76.08,-12.974,40.5178,
399,Boyolangu,ID,75.13,-8.1181,111.8935,
401,Klyuchevsk,RU,55.33,57.1216,60.9414,
403,Winnemucca,US,55.45,40.973,-117.7357,
405,Carbonear,CA,58.14,47.7332,-53.2148,
406,Sioux Lookout,CA,64.47,50.1001,-91.917,
407,Ust-Nera,RU,49.91,64.5667,143.2,
408,Cidreira,BR,59.67,-30.1811,-50.2056,
409,Den Helder,NL,58.96,52.9599,4.7593,
410,Lima,PE,68.9,-12.0432,-77.0282,
412,Kitimat,CA,55.78,54.0524,-128.6534,
413,Kathmandu,NP,71.82,27.7167,85.3167,
415,Lac Du Bonnet,CA,66.36,50.2536,-96.0612,
417,Dusetos,LT,55.54,55.75,25.85,
419,Kunming,CN,55.33,25.0389,102.7183,
421,Yumen,CN,67.3,40.2833,97.2,
422,Yizheng,CN,56.75,24.6706,103.4296,
423,Port-Cartier,CA,62.82,50.0334,-66.8654,
424,Saint-Philippe,RE,67.59,-21.3585,55.7679,
426,Ha Giang,VN,75.29,22.8333,104.9833,
427,Vilyuysk,RU,49.55,63.7553,121.6247,
429,Saint-Pierre,RE,71.91,-21.3393,55.4781,
430,Matara,LK,79.16,5.9485,80.5353,
431,Kwekwe,ZW,54.91,-18.9281,29.8149,
434,Moindou,NC,71.02,-21.6924,165.677,
435,Charlestown,AU,46.69,-32.95,151.6667,
436,Esil,KZ,56.7,51.9556,66.4042,
437,Eisiskes,LT,55.92,54.1667,25.0,
438,Coihaique,CL,52.41,-45.5752,-72.0662,
439,Udachnyy,RU,55.45,66.4167,112.4,
441,Mount Gambier,AU,44.87,-37.8333,140.7667,
444,Remicourt,BE,63.18,50.6807,5.3279,
446,Matagami,CA,64.51,49.7502,-77.6328,
448,Hammerfest,NO,43.25,70.6634,23.6821,
449,Sao Jose Dos Campos,BR,66.06,-23.1794,-45.8869,
450,Rodos,GR,77.79,36.4408,28.2225,
451,Raduzhnyy,RU,56.32,62.0961,77.475,
452,Raga,SS,70.5,8.4596,25.678,
453,Bonthe,SL,79.95,7.5264,-12.505,
455,Dhankuta,NP,70.07,26.9833,87.3333,
456,Maniitsoq,GL,36.28,65.4167,-52.9,
458,Honiara,SB,76.08,-9.4333,159.95,
459,Itupiranga,BR,79.12,-5.1347,-49.3267,
460,Stolin,BY,63.12,51.8912,26.846,
463,Homer,US,58.77,59.6425,-151.5483,
464,Aktash,RU,46.0,50.3,87.7333,
465,Zyryanka,RU,57.56,65.75,150.85,
466,Vao,NC,71.92,-22.6667,167.4833,
467,Padang,ID,73.45,-0.9492,100.3543,
468,Turukhansk,RU,57.27,65.8167,87.9833,
469,Capreol,CA,71.55,46.706,-80.9225,
470,Inongo,CD,73.69,-1.95,18.2667,
471,Khandbari,NP,74.59,27.3747,87.2039,
472,Spiridonovka,RU,57.47,53.0925,50.6462,
473,Pangkalanbuun,ID,72.99,-2.6833,111.6167,
474,Davila,PH,78.78,18.4726,120.5763,
476,Havoysund,NO,43.03,70.9963,24.6622,
477,Jinka,ET,66.43,5.65,36.65,
479,Fomboni,KM,77.86,-12.28,43.7425,
480,Lobito,AO,72.79,-12.3481,13.5456,
482,Cordoba,AR,76.05,-31.4135,-64.1811,
483,Kijang,KR,65.93,35.2442,129.2139,
484,Te Anau,NZ,41.95,-45.4167,167.7167,
485,Smithers,CA,52.12,54.7804,-127.1743,
486,Totoral,PE,68.88,-17.4053,-70.365,
487,Tura,IN,74.7,25.5198,90.2201,
488,Kiria,GR,75.38,41.1,24.2833,
489,Verishen,AM,54.88,39.5356,46.3122,
492,Huanan,CN,57.06,46.2167,130.5167,
493,Buchanan,LR,78.6,5.8808,-10.0467,
494,Buin,CL,71.87,-33.7333,-70.75,
495,Naryan-Mar,RU,58.33,67.6713,53.087,
496,Eyl,SO,79.16,7.9803,49.8164,
497,Thio,NC,67.96,-21.6167,166.2167,
499,Bintulu,MY,75.61,3.1667,113.0333,
500,Zaysan,KZ,65.53,47.4667,84.8667,
501,Havre-Saint-Pierre,CA,64.76,50.2334,-63.5986,
503,Namtsy,RU,48.04,62.7161,129.6658,
504,Vila Velha,BR,73.35,-20.3297,-40.2925,
505,Embonas,GR,72.84,36.2269,27.8564,
508,Coos Bay,US,59.23,43.3665,-124.2179,
509,San Lawrenz,MT,76.41,36.0553,14.204,
510,Mattru,SL,76.21,7.6244,-11.8332,
511,Gualaquiza,EC,66.27,-3.4,-78.55,
514,Cap Malheureux,MU,73.47,-19.9842,57.6142,
515,Innisfail,AU,59.61,-17.5333,146.0333,
516,Zambezi,ZM,58.95,-13.5432,23.1047,
517,Stromness,GB,52.88,58.965,-3.296,
519,Prince Rupert,CA,53.29,54.3161,-130.3201,
521,Japoata,BR,77.94,-10.3467,-36.8011,
522,Pochutla,MX,79.83,15.7432,-96.4661,
523,Karratha,AU,72.68,-20.7377,116.8463,
525,Bahir Dar,ET,66.94,11.5936,37.3908,
528,Danjiangkou,CN,72.54,32.5428,111.5086,
529,Standerton,ZA,48.61,-26.9337,29.2415,
530,Hobyo,SO,79.43,5.3505,48.5268,
531,Werneck,DE,58.89,49.9833,10.1,
532,Ribeira Brava,PT,72.01,32.65,-17.0667,
533,Fort-Shevchenko,KZ,77.14,44.5086,50.263,
535,Minervino Murge,IT,73.24,41.0843,16.0784,
536,Salta,AR,65.57,-24.7859,-65.4117,
537,Anamur,TR,74.14,36.0751,32.8369,
538,Balkhash,KZ,69.13,46.844,74.9804,
539,Tucuman,AR,71.6,-26.8241,-65.2226,
541,Muisne,EC,78.1,0.6,-80.0333,
544,Kuching,MY,77.22,1.55,110.3333,
545,Lasa,IT,70.68,46.6166,10.7002,
546,Luanda,AO,73.4,-8.8368,13.2343,
548,Preeceville,CA,68.86,51.95,-102.6677,
549,Quatre Cocos,MU,73.51,-20.2078,57.7625,
552,Kosh-Agach,RU,52.93,50.0,88.6667,
553,Kamenka,RU,63.97,51.3223,42.7678,
554,Santiago Del Estero,AR,74.66,-27.7951,-64.2615,
555,La Ronge,CA,64.62,55.1001,-105.2842,
556,Paris,FR,72.09,48.8534,2.3488,
557,Kuryk,KZ,76.86,43.2,51.65,
560,Talnakh,RU,59.09,69.4865,88.3972,
561,Visby,SE,60.06,57.6409,18.296,
562,Sayyan,YE,68.07,15.1718,44.3244,
563,Takhtamygda,RU,51.93,54.1,123.5667,
564,Atambua,ID,70.59,-9.1061,124.8925,
567,Luebo,CD,76.05,-5.35,21.4167,
570,Shonguy,RU,53.67,68.7526,33.146,
572,Hovd,MN,69.12,48.0056,91.6419,
573,Morondava,MG,72.45,-20.2833,44.2833,
575,Baykit,RU,55.35,61.67,96.37,
576,Wattegama,LK,74.44,6.7989,81.4808,
577,Bondoukou,CI,74.95,8.0333,-2.8,
579,Namie,JP,58.71,37.4833,141.0,
581,Queanbeyan,AU,35.51,-35.35,149.2333,
583,Coari,BR,77.0,-4.085,-63.1414,
584,Panguna,PG,66.83,-6.3164,155.4848,
585,Impfondo,CG,70.93,1.6381,18.0667,
587,Healdsburg,US,78.98,38.6105,-122.8692,
588,Merritt,CA,50.77,50.1123,-120.7942,
589,Kismayo,SO,78.13,-0.3582,42.5454,
590,Athenree,NZ,53.37,-37.4667,175.9167,
591,Wajima,JP,61.32,37.4,136.9,
592,Aleysk,RU,68.52,52.4926,82.7822,
596,Tartagal,AR,73.74,-22.5164,-63.8013,
597,Chilca,PE,63.93,-12.5211,-76.7372,
598,Svetlyy,RU,57.96,54.675,20.1347,
599,Chipata,ZM,56.97,-13.6333,32.65,
600,Poum,NC,73.53,-20.2333,164.0167,
601,Crotone,IT,74.01,39.0851,17.1178,
604,Hendek,TR,63.57,40.7994,30.7481,
605,Cochabamba,BO,67.75,-17.3895,-66.1568,
606,Marysville,US,60.42,48.0518,-122.1771,
607,Mnogovershinnyy,RU,52.47,53.9353,139.9242,
608,Amparafaravola,MG,56.89,-17.5833,48.2167,
609,Shanghai,CN,70.93,31.2222,121.4581,
610,Fare,PF,79.59,-16.7,-151.0167,
611,Longhua,CN,75.27,23.6137,114.1919,
612,Seka,TH,78.48,17.9285,103.9552,
