City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,Qaqortoq,60.7167,-46.0333,46.72,46,0,14.36,GL,2022-06-13 18:53:06
193,Mikhaylovskoye,51.8239,79.7172,68.86,56,99,1.52,RU,2022-06-13 18:53:06
194,Hermiston,45.8404,-119.2895,61.65,57,100,8.99,US,2022-06-13 18:53:06
195,Najran,17.4924,44.1277,90.25,17,33,3.44,SA,2022-06-13 18:53:07
196,Bandar-E Lengeh,26.5579,54.8807,91.51,66,0,4.61,IR,2022-06-13 18:53:07
197,Deputatskiy,69.3,139.9,52.03,57,95,4.9,RU,2022-06-13 18:53:07
198,Korla,41.7597,86.1469,83.41,9,6,3.27,CN,2022-06-13 18:53:08
199,Biltine,14.5333,20.9167,82.13,51,100,24.2,TD,2022-06-13 18:53:08
200,Kharagpur,22.3333,87.3333,86.5,67,100,12.12,IN,2022-06-13 18:53:08
201,Tecoanapa,16.5167,-98.75,77.56,89,100,11.12,MX,2022-06-13 18:53:09
202,Hofn,64.2539,-15.2082,50.02,93,100,4.61,IS,2022-06-13 18:53:09
203,Ponta Do Sol,32.6667,-17.1,72.01,70,35,5.57,PT,2022-06-13 18:53:09
204,Gravdal,68.1214,13.5031,49.42,89,100,5.3,NO,2022-06-13 18:53:10
205,Viedma,-40.8135,-62.9967,63.01,36,100,14.36,AR,2022-06-13 18:50:25
206,Jiazi,22.8779,116.067,79.83,90,100,13.33,CN,2022-06-13 18:53:10
207,Ambulu,-8.345,113.6058,75.4,92,100,2.89,ID,2022-06-13 18:53:10
208,Kahului,20.8947,-156.47,82.42,66,20,19.57,US,2022-06-13 18:53:11
209,Bilma,18.6853,12.9164,98.53,10,0,9.48,NE,2022-06-13 18:53:11
210,Port Hedland,-20.3167,118.5667,62.65,67,0,6.91,AU,2022-06-13 18:53:11
211,Beringovskiy,63.05,179.3167,37.69,86,86,7.61,RU,2022-06-13 18:53:11
212,Clyde River,70.4692,-68.5914,37.63,81,100,3.44,CA,2022-06-13 18:48:35
213,Urumqi,43.801,87.6005,81.55,32,0,4.47,CN,2022-06-13 18:53:12
214,Tiksi,71.6872,128.8694,45.86,65,100,2.21,RU,2022-06-13 18:53:12
215,Lata,40.1629,-8.3327,79.05,54,4,4.54,PT,2022-06-13 18:53:12
216,Fairmount,43.0473,-76.2385,74.55,55,20,7.0,US,2022-06-13 18:53:13
217,Dinguiraye,11.3,-10.7167,80.74,61,79,2.48,GN,2022-06-13 18:53:13
218,Nantucket,41.2835,-70.0995,78.91,93,8,14.45,US,2022-06-13 18:53:13
219,Guardiagrele,42.1954,14.2198,71.19,52,0,5.55,IT,2022-06-13 18:53:14
220,Nioro,13.35,-15.75,91.45,45,100,12.53,GM,2022-06-13 18:53:14
221,Champerico,14.3,-91.9167,90.14,70,86,7.16,GT,2022-06-13 18:53:14
222,Kirksville,40.1948,-92.5833,84.56,74,0,14.97,US,2022-06-13 18:53:11
223,Roebourne,-20.7833,117.1333,72.55,58,0,6.29,AU,2022-06-13 18:53:14
224,Tenenkou,14.4572,-4.9169,99.68,23,10,8.72,ML,2022-06-13 18:53:15
225,Mackay,-21.15,149.2,58.12,66,0,8.86,AU,2022-06-13 18:52:48
226,Saint-Augustin,51.226,-58.6502,63.77,53,99,9.62,CA,2022-06-13 18:53:15
227,Port-Gentil,-0.7193,8.7815,78.76,89,20,10.36,GA,2022-06-13 18:53:15
228,Coahuayana,18.7333,-103.6833,92.3,47,51,7.25,MX,2022-06-13 18:53:16
229,Fecamp,49.7579,0.3746,62.31,73,7,4.52,FR,2022-06-13 18:53:16
230,Amuntai,-2.4177,115.2494,72.45,99,64,1.21,ID,2022-06-13 18:53:16
231,Hoquiam,46.9809,-123.8893,56.95,80,98,5.01,US,2022-06-13 18:53:17
232,Nikolskoye,59.7035,30.7861,58.91,86,6,4.99,RU,2022-06-13 18:53:17
233,Praia Da Vitoria,38.7333,-27.0667,69.76,83,20,11.23,PT,2022-06-13 18:53:17
234,Rio Grande,-32.035,-52.0986,64.51,83,97,4.03,BR,2022-06-13 18:53:18
235,Codrington,-38.2667,141.9667,44.06,82,100,9.55,AU,2022-06-13 18:53:18
236,Cape Town,-33.9258,18.4232,54.27,95,75,5.75,ZA,2022-06-13 18:53:18
237,Dunedin,-45.8742,170.5036,46.8,63,85,23.0,NZ,2022-06-13 18:53:18
238,San Cristobal,7.7669,-72.225,78.98,55,97,7.27,VE,2022-06-13 18:53:19
239,Victor Harbor,-35.5667,138.6167,53.67,67,91,11.99,AU,2022-06-13 18:53:19
240,Montalto Uffugo,39.4048,16.158,72.37,79,0,3.8,IT,2022-06-13 18:53:19
241,Calvinia,-31.4707,19.776,52.63,58,95,18.32,ZA,2022-06-13 18:53:20
242,Dhidhdhoo,6.8833,73.1,83.05,76,100,11.86,MV,2022-06-13 18:53:20
243,Auce,56.4598,22.9017,54.79,81,100,6.22,LV,2022-06-13 18:53:20
244,Akranes,64.3218,-22.0749,53.65,91,100,15.32,IS,2022-06-13 18:53:20
245,Upernavik,72.7868,-56.1549,31.19,82,76,6.85,GL,2022-06-13 18:53:21
246,Warrington,53.3925,-2.5802,61.32,63,40,10.36,GB,2022-06-13 18:53:21
247,Nampula,-15.1165,39.2666,63.63,92,37,2.64,MZ,2022-06-13 18:53:21
248,Saint-Francois,46.4154,3.9054,74.64,41,0,5.75,FR,2022-06-13 18:53:22
249,Correntina,-13.3433,-44.6367,91.49,24,33,3.62,BR,2022-06-13 18:53:22
250,Mahebourg,-20.4081,57.7,73.69,68,75,19.57,MU,2022-06-13 18:53:22
251,General Roca,-39.0333,-67.5833,56.62,14,100,2.39,AR,2022-06-13 18:53:22
252,Seoul,37.5683,126.9778,67.6,52,0,12.66,KR,2022-06-13 18:50:46
253,Usinsk,65.9939,57.5281,52.43,37,28,7.34,RU,2022-06-13 18:53:23
254,Necochea,-38.5473,-58.7368,62.06,44,100,13.0,AR,2022-06-13 18:53:23
255,Svolvaer,68.2342,14.5683,53.49,86,100,3.02,NO,2022-06-13 18:53:23
256,Rawson,-43.3002,-65.1023,61.5,25,100,6.4,AR,2022-06-13 18:50:15
257,Atlantic City,39.3643,-74.4229,89.02,72,75,6.91,US,2022-06-13 18:48:50
258,Bengkulu,-3.8004,102.2655,75.94,87,97,3.51,ID,2022-06-13 18:53:24
259,Auki,-8.7676,160.7034,76.32,88,47,3.33,SB,2022-06-13 18:53:24
260,Biak,-0.9131,122.8766,75.65,84,35,6.04,ID,2022-06-13 18:53:24
261,Westport,41.1415,-73.3579,86.09,58,22,5.99,US,2022-06-13 18:53:25
262,Poronaysk,49.2167,143.1167,46.87,95,90,1.68,RU,2022-06-13 18:53:25
263,Namibe,-15.1961,12.1522,67.71,70,0,16.51,AO,2022-06-13 18:53:25
264,Pasni,25.2631,63.471,82.94,81,0,6.33,PK,2022-06-13 18:53:26
265,Zlitan,32.4674,14.5687,71.98,81,0,11.36,LY,2022-06-13 18:53:26
266,Djibo,14.1022,-1.6306,98.42,28,5,5.99,BF,2022-06-13 18:53:26
267,Vidim,56.4088,103.1106,55.76,94,78,3.2,RU,2022-06-13 18:53:26
268,Haverfordwest,51.8017,-4.9691,61.56,69,11,1.01,GB,2022-06-13 18:53:27
269,Kaeo,-35.1,173.7833,52.32,92,48,9.33,NZ,2022-06-13 18:53:27
270,Ibra,22.6906,58.5334,80.26,72,17,6.4,OM,2022-06-13 18:53:27
271,Lagunillas,10.1301,-71.2595,86.94,64,27,8.95,VE,2022-06-13 18:53:28
272,Isangel,-19.55,169.2667,75.78,88,100,5.79,VU,2022-06-13 18:53:28
273,Lubben,51.95,13.9,63.25,61,73,6.85,DE,2022-06-13 18:53:28
